"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Legs","11 Jun 2026, 06:24","11 Jun 2026, 07:34","","Seated Leg Curl (Machine)",,"",1,"normal",96,8,,,
"Pull","10 Jun 2026, 17:58","10 Jun 2026, 18:52","","Pull Up (Weighted)",,"",0,"normal",30,10,,,
"Pull","10 Jun 2026, 17:58","10 Jun 2026, 18:52","","Pull Up (Weighted)",,"",1,"normal",30,7,,,
"Pull","10 Jun 2026, 17:58","10 Jun 2026, 18:52","","Pull Up (Weighted)",,"",2,"normal",20,7,,,
"Pull","10 Jun 2026, 17:58","10 Jun 2026, 18:52","","Iso-Lateral Row (Machine)",,"",0,"normal",130,9,,,
"Pull","10 Jun 2026, 17:58","10 Jun 2026, 18:52","","Iso-Lateral Row (Machine)",,"",1,"normal",130,7,,,
"Pull","10 Jun 2026, 17:58","10 Jun 2026, 18:52","","Iso-Lateral Row (Machine)",,"",2,"normal",120,10,,,
"Pull","10 Jun 2026, 17:58","10 Jun 2026, 18:52","","Shoulder Press (Machine Plates)",,"",0,"normal",80,10,,,
"Pull","10 Jun 2026, 17:58","10 Jun 2026, 18:52","","Shoulder Press (Machine Plates)",,"",1,"normal",80,7,,,
"Pull","10 Jun 2026, 17:58","10 Jun 2026, 18:52","","Shoulder Press (Machine Plates)",,"",2,"normal",70,8,,,
"Pull","10 Jun 2026, 17:58","10 Jun 2026, 18:52","","Preacher Curl (Machine)",,"",0,"normal",81,8,,,
"Pull","10 Jun 2026, 17:58","10 Jun 2026, 18:52","","Preacher Curl (Machine)",,"",1,"normal",74,8,,,
"Pull","10 Jun 2026, 17:58","10 Jun 2026, 18:52","","Lat Pulldown (Cable)",,"",0,"normal",97,7,,,
"Pull","10 Jun 2026, 17:58","10 Jun 2026, 18:52","","Lat Pulldown (Cable)",,"",1,"normal",87,9,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Incline Bench Press (Dumbbell)",,"",0,"normal",60,8,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Incline Bench Press (Dumbbell)",,"",1,"normal",60,6,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Incline Bench Press (Dumbbell)",,"",2,"normal",56,7,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Shrug (Machine)",,"",0,"normal",140,12,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Shrug (Machine)",,"",1,"normal",140,12,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Shrug (Machine)",,"",2,"normal",140,12,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Flat iso-Lateral Press",,"",0,"normal",96,8,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Flat iso-Lateral Press",,"",1,"normal",96,7,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Flat iso-Lateral Press",,"",2,"normal",86,9,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Skullcrusher (Barbell)",,"",0,"normal",35,11,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Skullcrusher (Barbell)",,"",1,"normal",35,8,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Skullcrusher (Barbell)",,"",2,"normal",32.5,9,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Iso-Lateral Chest Press (Machine)",,"",0,"normal",76,9,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Iso-Lateral Chest Press (Machine)",,"",1,"normal",76,8,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Lateral Raise (Cable)",,"",0,"normal",7.5,11,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Lateral Raise (Cable)",,"",1,"normal",7.5,11,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Triceps Pushdown",,"",0,"normal",38.5,8,,,
"Push","8 Jun 2026, 07:20","8 Jun 2026, 08:49","","Triceps Pushdown",,"",1,"normal",35,8,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Pull Up (Weighted)",,"",0,"normal",30,10,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Pull Up (Weighted)",,"",1,"normal",30,7,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Pull Up (Weighted)",,"",2,"normal",20,8,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Squat (Barbell)",,"",0,"normal",75,8,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Squat (Barbell)",,"",1,"normal",75,7,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Chest Dip (Weighted)",,"",0,"normal",20,9,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Chest Dip (Weighted)",,"",1,"normal",20,7,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Chest Dip (Weighted)",,"",2,"normal",15,8,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Seated Row (Machine)",,"",0,"normal",103,10,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Seated Row (Machine)",,"",1,"normal",96,10,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Seated Row (Machine)",,"",2,"normal",96,8,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Iso Lateral Leg Curl",,"(Weight per leg)",0,"warmup",28,10,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Iso Lateral Leg Curl",,"(Weight per leg)",1,"normal",38,7,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Shoulder Press (Machine Plates)",,"",0,"normal",80,8,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Shoulder Press (Machine Plates)",,"",1,"normal",70,8,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Shoulder Press (Machine Plates)",,"",2,"normal",70,7,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Preacher Curl (Machine)",0,"",0,"normal",81,10,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Preacher Curl (Machine)",0,"",1,"normal",74,8,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Triceps Pushdown",0,"",0,"normal",38.5,8,,,
"Full body","6 Jun 2026, 10:07","6 Jun 2026, 11:32","","Triceps Pushdown",0,"",1,"normal",35,12,,,
"Pull","29 May 2026, 07:54","29 May 2026, 08:58","","Pull Up (Weighted)",,"",0,"normal",30,9,,,
"Pull","29 May 2026, 07:54","29 May 2026, 08:58","","Pull Up (Weighted)",,"",1,"normal",30,7,,,
"Pull","29 May 2026, 07:54","29 May 2026, 08:58","","Pull Up (Weighted)",,"",2,"normal",20,8,,,
"Pull","29 May 2026, 07:54","29 May 2026, 08:58","","Iso-Lateral Row (Machine)",,"",0,"normal",130,10,,,
"Pull","29 May 2026, 07:54","29 May 2026, 08:58","","Iso-Lateral Row (Machine)",,"",1,"normal",130,8,,,
"Pull","29 May 2026, 07:54","29 May 2026, 08:58","","Iso-Lateral Row (Machine)",,"",2,"normal",120,9,,,
"Pull","29 May 2026, 07:54","29 May 2026, 08:58","","Shoulder Press (Machine Plates)",,"",0,"normal",80,9,,,
"Pull","29 May 2026, 07:54","29 May 2026, 08:58","","Shoulder Press (Machine Plates)",,"",1,"normal",70,8,,,
"Pull","29 May 2026, 07:54","29 May 2026, 08:58","","Preacher Curl (Machine)",,"",0,"normal",81,10,,,
"Pull","29 May 2026, 07:54","29 May 2026, 08:58","","Preacher Curl (Machine)",,"",1,"normal",74,8,,,
"Pull","29 May 2026, 07:54","29 May 2026, 08:58","","Preacher Curl (Machine)",,"",2,"normal",74,7,,,
"Pull","29 May 2026, 07:54","29 May 2026, 08:58","","Leg Extension (Machine)",,"",0,"normal",117,12,,,
"Pull","29 May 2026, 07:54","29 May 2026, 08:58","","Leg Extension (Machine)",,"",1,"normal",117,10,,,
"Pull","29 May 2026, 07:54","29 May 2026, 08:58","","Lat Pulldown (Cable)",,"",0,"normal",97,8,,,
"Pull","29 May 2026, 07:54","29 May 2026, 08:58","","Lat Pulldown (Cable)",,"",1,"normal",87,8,,,
"Push","28 May 2026, 14:00","28 May 2026, 15:22","","Chest Dip (Weighted)",,"",0,"normal",20,9,,,
"Push","28 May 2026, 14:00","28 May 2026, 15:22","","Chest Dip (Weighted)",,"",1,"normal",20,7,,,
"Push","28 May 2026, 14:00","28 May 2026, 15:22","","Chest Dip (Weighted)",,"",2,"normal",15,9,,,
"Push","28 May 2026, 14:00","28 May 2026, 15:22","","Shrug (Machine)",,"",0,"normal",140,12,,,
"Push","28 May 2026, 14:00","28 May 2026, 15:22","","Shrug (Machine)",,"",1,"normal",140,12,,,
"Push","28 May 2026, 14:00","28 May 2026, 15:22","","Shrug (Machine)",,"",2,"normal",140,12,,,
"Push","28 May 2026, 14:00","28 May 2026, 15:22","","Flat iso-Lateral Press",,"",0,"normal",96,8,,,
"Push","28 May 2026, 14:00","28 May 2026, 15:22","","Flat iso-Lateral Press",,"",1,"normal",96,6,,,
"Push","28 May 2026, 14:00","28 May 2026, 15:22","","Flat iso-Lateral Press",,"",2,"normal",86,8,,,
"Push","28 May 2026, 14:00","28 May 2026, 15:22","","Skullcrusher (Barbell)",,"",0,"normal",35,9,,,
"Push","28 May 2026, 14:00","28 May 2026, 15:22","","Skullcrusher (Barbell)",,"",1,"normal",35,7,,,
"Push","28 May 2026, 14:00","28 May 2026, 15:22","","Skullcrusher (Barbell)",,"",2,"normal",30,9,,,
"Push","28 May 2026, 14:00","28 May 2026, 15:22","","Seated Leg Curl (Machine)",,"",0,"normal",96,12,,,
"Push","28 May 2026, 14:00","28 May 2026, 15:22","","Seated Leg Curl (Machine)",,"",1,"normal",96,10,,,
"Push","28 May 2026, 14:00","28 May 2026, 15:22","","Lateral Raise (Cable)",,"",0,"normal",7.5,12,,,
"Push","28 May 2026, 14:00","28 May 2026, 15:22","","Lateral Raise (Cable)",,"",1,"normal",7.5,12,,,
"Push","28 May 2026, 14:00","28 May 2026, 15:22","","Triceps Pushdown",,"",0,"normal",38.5,8,,,
